,epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
25,25,0.0722132623195648,0.0009998333,0.0722132623195648,0.0732355266809463,0.0732355266809463
26,26,0.070369504392147,0.0009998267,0.070369504392147,0.0737505406141281,0.0737505406141281
27,27,0.0703416392207145,0.0009998201,0.0703416392207145,0.0733771249651908,0.0733771249651908
28,28,0.0691573023796081,0.0009998133,0.0691573023796081,0.0693223923444747,0.0693223923444747
29,29,0.066569335758686,0.0009998067,0.066569335758686,0.0657204911112785,0.0657204911112785
30,30,0.0651452541351318,0.0009998,0.0651452541351318,0.064693309366703,0.064693309366703
31,31,0.0642464831471443,0.0009997934,0.0642464831471443,0.0622512064874172,0.0622512064874172
32,32,0.0633811876177787,0.0009997867,0.0633811876177787,0.0605397336184978,0.0605397336184978
33,33,0.0621359050273895,0.00099978,0.0621359050273895,0.0642964020371437,0.0642964020371437
34,34,0.0609559416770935,0.0009997734,0.0609559416770935,0.0611970126628875,0.0611970126628875
35,35,0.0619361922144889,0.0009997668,0.0619361922144889,0.063592180609703,0.063592180609703
36,36,0.0594247505068779,0.00099976,0.0594247505068779,0.061785701662302,0.061785701662302
37,37,0.0581657811999321,0.0009997534,0.0581657811999321,0.0601428784430027,0.0601428784430027
38,38,0.0579366609454155,0.0009997467,0.0579366609454155,0.061435654759407,0.061435654759407
39,39,0.0569899678230285,0.00099974,0.0569899678230285,0.0573041178286075,0.0573041178286075
40,40,0.0567950569093227,0.0009997333,0.0567950569093227,0.0621430128812789,0.0621430128812789
41,41,0.0566767528653144,0.0009997267,0.0566767528653144,0.0564829297363758,0.0564829297363758
42,42,0.0569147951900959,0.0009997201,0.0569147951900959,0.0588350743055343,0.0588350743055343
43,43,0.0537218488752841,0.0009997133,0.0537218488752841,0.0579189360141754,0.0579189360141754
44,44,0.053127322345972,0.0009997067,0.053127322345972,0.0583520680665969,0.0583520680665969
45,45,0.0536576658487319,0.0009997,0.0536576658487319,0.0624516941606998,0.0624516941606998
46,46,0.0543455816805362,0.0009996934,0.0543455816805362,0.0573080256581306,0.0573080256581306
47,47,0.0536064319312572,0.0009996868,0.0536064319312572,0.0566801056265831,0.0566801056265831
48,48,0.0520530715584754,0.00099968,0.0520530715584754,0.0559624955058097,0.0559624955058097
49,49,0.0516810417175293,0.0009996734,0.0516810417175293,0.0541794262826442,0.0541794262826442
50,50,0.0525980554521083,0.0009996668,0.0525980554521083,0.0644104331731796,0.0644104331731796
51,51,0.0546961575746536,0.0009996601,0.0546961575746536,0.057351280003786,0.057351280003786
52,52,0.0543518550693988,0.0009996534,0.0543518550693988,0.061309702694416,0.061309702694416
53,53,0.0521741770207881,0.0009996467,0.0521741770207881,0.0569787099957466,0.0569787099957466
54,54,0.0497271455824375,0.0009996401,0.0497271455824375,0.0544610321521759,0.0544610321521759
55,55,0.0495916865766048,0.0009996335,0.0495916865766048,0.0579104274511337,0.0579104274511337
56,56,0.0507497675716877,0.0009996267,0.0507497675716877,0.0512151978909969,0.0512151978909969
57,57,0.0503245592117309,0.0009996201,0.0503245592117309,0.0526427924633026,0.0526427924633026
58,58,0.0488043017685413,0.0009996134,0.0488043017685413,0.0536067113280296,0.0536067113280296
59,59,0.0480344183743,0.0009996068,0.0480344183743,0.0538728348910808,0.0538728348910808
60,60,0.0483711659908294,0.0009996,0.0483711659908294,0.0558473840355873,0.0558473840355873
61,61,0.0477995090186595,0.0009995934,0.0477995090186595,0.0533214323222637,0.0533214323222637
62,62,0.0469554811716079,0.0009995868,0.0469554811716079,0.0545589886605739,0.0545589886605739
63,63,0.0467838384211063,0.0009995801,0.0467838384211063,0.0531222634017467,0.0531222634017467
64,64,0.046583604067564,0.0009995734,0.046583604067564,0.0545784644782543,0.0545784644782543
65,65,0.0462066493928432,0.0009995667,0.0462066493928432,0.0548922829329967,0.0548922829329967
66,66,0.0463652461767196,0.0009995601,0.0463652461767196,0.0548825748264789,0.0548825748264789
67,67,0.0460852272808551,0.0009995535,0.0460852272808551,0.0538388565182685,0.0538388565182685
