,Unnamed: 0,Simulated River Discharge,Observed River Discharge,Date
617,617,78.16258445384327,259.0000146631616,2002-09-08
618,618,74.35056618558993,240.99999215691355,2002-09-09
619,619,79.68528353950988,241.999978857767,2002-09-10
620,620,61.699708680489366,220.00000954810525,2002-09-11
621,621,79.01837839754832,260.9999880648685,2002-09-12
622,622,86.41571563560203,230.9999942029361,2002-09-13
623,623,72.00629356536139,214.00000204602256,2002-09-14
624,624,57.15630555164349,211.99998499583464,2002-09-15
625,625,70.36984653807869,213.00001534516912,2002-09-16
626,626,66.56484476315414,207.00000784308645,2002-09-17
627,627,78.62653507104302,243.00000920710147,2002-09-18
628,628,74.06617450730924,207.99999454393983,2002-09-19
629,629,68.96577311178547,185.0000057970639,2002-09-20
630,630,62.46887130143061,173.0000017050188,2002-09-21
631,631,64.81230368839896,226.00001705018792,2002-09-22
632,632,64.43727593921813,188.99999624895867,2002-09-23
633,633,75.60763152770707,182.99999965899624,2002-09-24
634,634,71.30056309950592,182.99999965899624,2002-09-25
635,635,64.058701750952,195.00000375104133,2002-09-26
636,636,74.84617286367113,227.9999904518948,2002-09-27
637,637,62.62998875710609,193.99999522594737,2002-09-28
638,638,58.47878905473417,177.00000306903382,2002-09-29
639,639,64.7910577902479,172.0000040920451,2002-09-30
640,640,61.170514496240266,169.99999795397744,2002-10-01
641,641,51.63321226563238,158.00000477405263,2002-10-02
642,642,59.59186896998792,155.99999863598498,2002-10-03
643,643,55.49155248439993,152.99999488494362,2002-10-04
644,644,55.11913273196184,150.99999965899624,2002-10-05
645,645,59.87346714548141,147.9999959079549,2002-10-06
646,646,68.19197283973267,142.99999693096618,2002-10-07
647,647,53.65105972032918,140.0000040920451,2002-10-08
648,648,45.41368564022944,135.00000511505638,2002-10-09
649,649,42.51227289575959,127.00000238702631,2002-10-10
650,650,50.1381863169514,128.0,2002-10-11
651,651,48.532555117289945,123.99999863598497,2002-10-12
652,652,43.46000145267601,126.0000047740526,2002-10-13
653,653,49.36086143005382,126.0000047740526,2002-10-14
654,654,51.909812690045655,115.9999959079549,2002-10-15
655,655,47.05948435457707,111.99999454393986,2002-10-16
656,656,45.65440701321969,110.99999693096618,2002-10-17
657,657,42.9283083928868,109.99999931799248,2002-10-18
658,658,51.41321300902057,105.99999795397746,2002-10-19
659,659,53.40340915097225,103.00000511505635,2002-10-20
660,660,49.05159011757468,103.00000511505635,2002-10-21
661,661,39.95426457594989,100.99999897698872,2002-10-22
662,662,43.522746144185255,101.99999658996242,2002-10-23
663,663,41.587579824717245,95.6999930776237,2002-10-24
664,664,42.26725214738592,96.40000559246164,2002-10-25
665,665,45.33045889898752,95.10000105711164,2002-10-26
666,666,48.91773113831488,94.80000504685562,2002-10-27
667,667,42.996912892976994,93.80000743388192,2002-10-28
668,668,42.62647914642668,92.79999890878796,2002-10-29
669,669,42.099063637780354,91.09999969309662,2002-10-30
670,670,45.22548430206249,86.99999965899624,2002-10-31
671,671,44.7043432625671,85.80000470585186,2002-11-01
672,672,46.6576564380316,82.99999829498121,2002-11-02
673,673,43.528507743683846,73.99999795397746,2002-11-03
674,674,44.32525620464863,76.90000303493345,2002-11-04
675,675,46.47730091433338,75.19999836318196,2002-11-05
676,676,45.720709055934506,73.99999795397746,2002-11-06
677,677,42.97659452504826,73.40000047740526,2002-11-07
678,678,45.98871072958095,70.99999965899624,2002-11-08
679,679,43.36160686426925,69.9000033759372,2002-11-09
680,680,40.84015414733886,68.3000028303312,2002-11-10
681,681,43.24797895597607,64.99999761297369,2002-11-11
682,682,45.50134270229792,66.09999935209287,2002-11-12
683,683,52.18079337252376,75.80000129581428,2002-11-13
684,684,67.96139973858652,65.50000187552067,2002-11-14
685,685,72.69906043234502,63.90000132991466,2002-11-15
686,686,55.95663796210698,63.90000132991466,2002-11-16
687,687,51.47168014938693,62.30000078430864,2002-11-17
688,688,59.04257466021533,62.79999959079549,2002-11-18
689,689,59.94398126661754,61.19999904518948,2002-11-19
690,690,45.316131285082896,61.00000170501879,2002-11-20
691,691,45.2153032938576,59.700002625728935,2002-11-21
692,692,44.76516742091015,59.09999969309662,2002-11-22
693,693,49.47079012957802,59.40000115941278,2002-11-23
694,694,35.15555056932283,57.59999781757595,2002-11-24
695,695,47.085029628111535,58.90000235292593,2002-11-25
696,696,52.97187844307232,59.09999969309662,2002-11-26
697,697,50.24347736536404,56.50000153451691,2002-11-27
698,698,42.29724956598746,57.30000180731992,2002-11-28
699,699,40.0342067689928,57.0999990110891,2002-11-29
700,700,39.59928239169124,56.50000153451691,2002-11-30
701,701,41.0830906807424,54.999999658996245,2002-12-01
702,702,38.02839538294552,54.00000204602255,2002-12-02
703,703,41.535212559577616,53.09999764707407,2002-12-03
704,704,51.84929407106996,51.5999957715534,2002-12-04
