,epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
28,28,0.1777631044387817,0.0009940445,0.0858475714921951,0.1926245987415313,0.1031047403812408
29,29,0.1740320026874542,0.0009938325,0.0845121443271637,0.1924518346786499,0.105274848639965
30,30,0.1718930304050445,0.0009936205,0.0847160443663597,0.189822182059288,0.1048686802387237
31,31,0.1680716723203659,0.0009934085,0.0831181704998016,0.1848405599594116,0.1020020619034767
32,32,0.1642468571662902,0.0009931966,0.0814083516597747,0.1800944805145263,0.099323496222496
33,33,0.1617210358381271,0.0009929847,0.0809500515460968,0.1771865487098693,0.0984883606433868
34,34,0.1584390699863433,0.0009927729,0.0797408819198608,0.1757079511880874,0.0990577042102813
35,35,0.1541472822427749,0.0009925611,0.0774970352649688,0.1729848384857177,0.0982933118939399
36,36,0.151372492313385,0.0009923495,0.0766809806227684,0.1679614782333374,0.0951268747448921
37,37,0.1471799910068512,0.0009921377,0.0743453800678253,0.1631291508674621,0.092098481953144
38,38,0.1435891985893249,0.0009919261,0.0725585296750068,0.159687727689743,0.0904332026839256
39,39,0.140226200222969,0.0009917145,0.070971667766571,0.1573402285575866,0.0898205935955047
40,40,0.1365609467029571,0.000991503,0.0690413191914558,0.1527593433856964,0.0868803411722183
41,41,0.1324975788593292,0.0009912915,0.0666185840964317,0.1473257839679718,0.0830150544643402
42,42,0.1287079453468322,0.0009910801,0.06439720839262,0.1435677409172058,0.0808118805289268
43,43,0.1244257688522338,0.0009908687,0.0616699084639549,0.140488713979721,0.0792581513524055
44,44,0.1212091296911239,0.0009906573,0.0599785782396793,0.1340174674987793,0.0742358863353729
45,45,0.1170818135142326,0.000990446,0.0573002360761165,0.1279985904693603,0.0696543082594871
46,46,0.1139467060565948,0.0009902347,0.0556024238467216,0.1281433701515197,0.0712568163871765
47,47,0.1112110167741775,0.0009900235,0.0543244667351245,0.116443246603012,0.0609141029417514
48,48,0.1097559407353401,0.0009898122,0.0542267896234989,0.1235008239746093,0.0694005116820335
49,49,0.1078466176986694,0.0009896011,0.0537463091313838,0.1122996807098388,0.0594645179808139
50,50,0.1047885715961456,0.0009893901,0.0519534163177013,0.1109487488865852,0.0593857429921627
51,51,0.1034008860588073,0.000989179,0.0518378876149654,0.1171352192759513,0.0668382719159126
52,52,0.1040632724761962,0.000988968,0.0537663362920284,0.1114822179079055,0.0622974894940853
53,53,0.1014985516667366,0.000988757,0.0523138381540775,0.1046285778284072,0.0564788244664669
54,54,0.1027495115995407,0.0009885461,0.0545997619628906,0.1125623807311058,0.0654905140399932
55,55,0.1004997640848159,0.0009883352,0.0534279011189937,0.1066210269927978,0.0604835487902164
56,56,0.0972507894039154,0.0009881244,0.051113311201334,0.0965652838349342,0.0513030439615249
57,57,0.0991811007261276,0.0009879136,0.0539188645780086,0.1076915711164474,0.063417837023735
58,58,0.0963475555181503,0.0009877029,0.0520738177001476,0.1058695241808891,0.0624916404485702
59,59,0.0941283106803894,0.0009874923,0.0507504232227802,0.0967699736356735,0.0541973710060119
60,60,0.0938398763537406,0.0009872816,0.0512672774493694,0.0983679667115211,0.0566642843186855
61,61,0.0913258492946624,0.000987071,0.0496221631765365,0.1042357087135315,0.0634013935923576
62,62,0.0910031870007515,0.0009868604,0.0501688718795776,0.1022911518812179,0.0622322335839271
63,63,0.0895792916417121,0.0009866499,0.049520369619131,0.095784492790699,0.0564350187778472
64,64,0.0881259739398956,0.0009864394,0.0487764999270439,0.0945713147521019,0.0559635460376739
65,65,0.0872061401605606,0.000986229,0.0485983714461326,0.0992767959833145,0.0614530593156814
66,66,0.0864819139242172,0.0009860187,0.0486581809818744,0.098952516913414,0.0618622191250324
67,67,0.0854599028825759,0.0009858083,0.0483696088194847,0.0934075638651847,0.0570079162716865
